Timestamp,Total People,Max Density,Running,Walking,Standing,Anomalies
2024-09-14 18:22:28,11,3,0,0,0,None
2024-09-14 18:22:29,9,2,2,3,3,None
2024-09-14 18:22:29,7,1,2,3,3,None
2024-09-14 18:22:30,7,2,3,2,3,None
2024-09-14 18:22:31,17,3,3,2,4,None
2024-09-14 18:22:31,13,2,3,4,7,None
2024-09-14 18:22:32,10,2,3,3,8,None
2024-09-14 18:22:32,10,2,4,2,8,None
2024-09-14 18:22:33,11,2,4,4,6,None
2024-09-14 18:22:33,11,2,7,2,7,Unusual number of people running: 66.67%
2024-09-14 18:22:34,12,2,7,2,7,Unusual number of people running: 66.67%
2024-09-14 18:22:35,11,2,6,4,7,None
2024-09-14 18:22:35,11,3,7,3,7,Unusual number of people running: 57.14%
2024-09-14 18:22:36,10,2,7,4,7,None
2024-09-14 18:22:37,9,2,6,6,6,None
2024-09-14 18:22:37,7,2,6,6,6,None
2024-09-14 18:22:38,9,2,7,6,6,None
2024-09-14 18:22:39,10,2,8,6,6,None
2024-09-14 18:22:39,10,3,8,7,6,None
2024-09-14 18:22:40,8,3,10,6,8,None
2024-09-14 18:22:40,8,3,11,6,8,None
2024-09-14 18:22:41,9,3,12,6,8,None
2024-09-14 18:22:41,7,3,11,7,9,None
2024-09-14 18:22:42,7,2,12,6,9,None
2024-09-14 18:22:42,7,2,13,6,10,None
2024-09-14 18:22:43,7,2,13,7,10,None
2024-09-14 18:22:43,6,2,14,7,10,None
2024-09-14 18:22:44,6,3,14,7,10,None
2024-09-14 18:22:44,6,3,14,7,10,None
2024-09-14 18:22:45,10,3,14,8,10,None
2024-09-14 18:22:45,9,3,14,9,11,None
2024-09-14 18:22:46,12,4,14,9,12,None
2024-09-14 18:22:46,11,4,14,11,12,None
2024-09-14 18:22:47,9,4,14,12,12,None
