Timestamp,Total People,Max Density,Running,Walking,Standing,Anomalies
2024-09-14 17:44:10,4,2,0,0,0,None
2024-09-14 17:44:10,4,1,0,2,1,None
2024-09-14 17:44:11,3,1,0,2,1,None
2024-09-14 17:44:11,2,1,1,1,1,None
2024-09-14 17:44:12,12,3,1,1,1,None
2024-09-14 17:44:12,8,2,1,3,4,None
2024-09-14 17:44:13,6,2,1,3,4,None
2024-09-14 17:44:13,5,2,2,2,4,None
2024-09-14 17:44:13,6,2,2,3,3,None
2024-09-14 17:44:14,6,2,3,2,4,None
2024-09-14 17:44:14,6,2,3,2,4,None
2024-09-14 17:44:15,4,2,3,3,3,None
2024-09-14 17:44:15,3,2,3,3,3,None
2024-09-14 17:44:16,3,2,3,3,3,None
2024-09-14 17:44:16,2,2,3,3,3,None
2024-09-14 17:44:17,2,1,3,3,3,None
2024-09-14 17:44:17,3,1,4,3,3,None
2024-09-14 17:44:18,5,2,4,3,3,None
2024-09-14 17:44:18,5,3,4,3,3,None
2024-09-14 17:44:19,3,2,4,3,4,None
2024-09-14 17:44:19,4,2,5,3,4,None
2024-09-14 17:44:20,3,2,6,3,4,None
2024-09-14 17:44:20,2,1,6,3,4,None
2024-09-14 17:44:20,3,2,6,3,4,None
2024-09-14 17:44:21,3,2,7,3,5,None
2024-09-14 17:44:21,4,2,7,3,6,None
2024-09-14 17:44:22,3,2,8,3,6,None
2024-09-14 17:44:22,2,1,8,3,6,None
2024-09-14 17:44:23,2,1,8,3,6,None
2024-09-14 17:44:23,5,2,8,3,6,None
2024-09-14 17:44:24,4,1,8,4,6,None
2024-09-14 17:44:24,4,1,8,4,7,None
2024-09-14 17:44:24,4,2,8,4,7,None
2024-09-14 17:44:25,3,1,8,5,7,None
2024-09-14 17:44:25,4,2,8,5,7,None
2024-09-14 17:44:26,2,1,8,5,7,None
2024-09-14 17:44:26,3,1,9,5,7,None
2024-09-14 17:44:27,2,1,9,5,7,None
